"x",""
1,1.18872121910114
2,1.0964063632593
3,1.02053004409993
4,0.956372738227601
5,0.9005658259427
6,0.843156272894038
7,0.798765955503916
8,0.762601994296212
9,0.721812348499405
10,0.684854168475761
11,0.653574451024695
12,0.624379696487377
13,0.598497119448868
14,0.579854192687881
15,0.559335875386787
16,0.539667100886107
17,0.524654086609963
18,0.506689720063659
19,0.495327232399828
20,0.481681375455154
21,0.471718875589244
22,0.460907629476778
23,0.451989066626688
24,0.443691987388026
25,0.435452736988639
26,0.426992891962492
27,0.419903388557263
28,0.414194521324099
29,0.408357055509459
30,0.403044406488822
31,0.395564441378443
32,0.390947927619128
33,0.387089772775733
34,0.38218829895908
35,0.378498270945494
36,0.37414762777205
37,0.370540009177856
38,0.367746638321505
39,0.364523440597921
40,0.360247451406748
41,0.357005694180359
42,0.35463336168986
43,0.352304390501029
44,0.349776122843863
45,0.347774812473958
46,0.345631775047701
47,0.342957637357765
48,0.3412301723108
49,0.339805989476897
50,0.33820371995096
51,0.336785602320284
52,0.335021639060585
53,0.33350637422409
54,0.332346233168689
55,0.330511194554314
56,0.329380013384685
57,0.327164207730285
58,0.326020562874378
59,0.324575891670875
60,0.323514598042075
61,0.321984299064502
62,0.321032054896368
63,0.320113007287576
64,0.319296745937858
65,0.31863727759331
66,0.317598760024651
67,0.316722306042161
68,0.315945918645174
69,0.315245037572008
70,0.314191501837892
71,0.313584409604952
72,0.312977922562817
73,0.312630158137578
74,0.311923447378347
75,0.310814891680422
76,0.309581718621204
77,0.308614157162469
78,0.30794189075044
79,0.307420063226263
80,0.306995415385987
81,0.306333607454704
82,0.30591465587515
83,0.305409859606021
84,0.304272864221354
85,0.303644575658398
86,0.303337811746712
87,0.302844175411505
88,0.302239347386469
89,0.30189977133673
90,0.300995389520213
91,0.300278122832521
92,0.299249203379438
93,0.299001236588074
94,0.298477699022246
95,0.298089471622637
96,0.29761572825007
97,0.297380129189303
98,0.297096973391172
99,0.296832770463444
100,0.296407565525624
