"x",""
1,1.08461069310486
2,1.05696270685419
3,1.03406452718996
4,1.01291765168434
5,0.99428647532307
6,0.979311962870001
7,0.965862749568735
8,0.954344906862957
9,0.943525710495605
10,0.933991690951761
11,0.925606884774676
12,0.917738934208081
13,0.910167726549016
14,0.903260701516885
15,0.897358143220395
16,0.891185786233056
17,0.885798485719159
18,0.881262649259257
19,0.875996697234785
20,0.871663416677119
21,0.866926809142123
22,0.863086997610735
23,0.858889433155753
24,0.854969670074484
25,0.850913145489401
26,0.84743083160965
27,0.844296058494321
28,0.840745214010992
29,0.837728037522765
30,0.835084541247759
31,0.832268482663776
32,0.82993095774859
33,0.827179743935147
34,0.824976907758651
35,0.822594485342416
36,0.820098563409577
37,0.818234483782477
38,0.816012047144101
39,0.814198258140128
40,0.812447883942219
41,0.810621734478583
42,0.809011049980992
43,0.807380308167402
44,0.805402053043385
45,0.803858080092099
46,0.802357610947085
47,0.801153418714115
48,0.799512342285671
49,0.79815515599561
50,0.79619862539572
51,0.794708431007745
52,0.793390377553345
53,0.792327614936919
54,0.79147129347988
55,0.79012765562786
56,0.789359055199457
57,0.788321287224137
58,0.78713174951355
59,0.786117304961824
60,0.785304591299482
61,0.78386814016434
62,0.783079385230821
63,0.781879884811833
64,0.780910408734737
65,0.780003340216306
66,0.779223991778148
67,0.778563632192058
68,0.777789404993973
69,0.776873285518356
70,0.77612073066893
71,0.775006392415977
72,0.774150731239165
73,0.773275282246891
74,0.772666778298782
75,0.772179394887601
76,0.771204451344549
77,0.770113437604771
78,0.76905046947243
79,0.768416836808068
80,0.767701104143113
81,0.766993055922049
82,0.766288427666119
83,0.765769634425625
84,0.764915448005027
85,0.764263996874537
86,0.763542906498555
87,0.763098912206705
88,0.76268352579062
89,0.762275363973547
90,0.761709497123722
91,0.76101271269324
92,0.760722237373955
93,0.760058734599476
94,0.759590150952483
95,0.758630736839751
96,0.758073431584222
97,0.757636515813214
98,0.757028571289263
99,0.756278886906386
100,0.755610241130577
101,0.755132073228363
102,0.754359154174432
103,0.753871885957364
104,0.753293200152997
105,0.752873829668478
106,0.752492635778032
107,0.752235537424836
108,0.751584839512557
109,0.751073910283932
110,0.750719206731203
111,0.750256820543067
112,0.749676742749436
113,0.749205486089989
114,0.749018937939617
115,0.748762471563611
116,0.748268084786528
117,0.747804767071523
118,0.747467681750729
119,0.747071457660636
120,0.746720326897589
121,0.746552427907695
122,0.746057873945723
123,0.745866961307058
124,0.745452974791659
125,0.745058032909399
126,0.744752231249068
127,0.744197114271983
128,0.743958446749374
129,0.743610042927687
130,0.743153428653265
131,0.742698021501006
132,0.742512424433695
133,0.742155712226866
134,0.741863456057537
135,0.741432532906805
136,0.741132921108052
137,0.740773682531785
138,0.740281695355558
139,0.739802470198232
140,0.739580890283143
141,0.73933215817059
142,0.73902321409171
143,0.738542286127816
144,0.738036946498559
145,0.737735886727351
146,0.737309393711466
147,0.737001374911312
148,0.736718553527851
149,0.736446597066589
150,0.736028196062617
151,0.735986832685995
152,0.735584858342188
153,0.735286722554004
154,0.735015920200802
155,0.734763853071372
156,0.734401307095733
157,0.734093327702262
158,0.733739496495632
159,0.733496124574368
160,0.733204283944413
161,0.733064461430326
162,0.732657901228969
163,0.732350075728947
164,0.732001376820727
165,0.731586650872489
166,0.731329603531625
167,0.730992483811149
168,0.730708392959985
169,0.730408991600241
170,0.730102645076828
171,0.729924909726351
172,0.729543562962479
173,0.729018064897466
174,0.728667968159628
175,0.72831276747019
176,0.72791645751013
177,0.727723996206606
178,0.727573724979646
179,0.727207803627868
180,0.727036026389039
181,0.72667932993705
182,0.72647535681178
183,0.72622674719178
184,0.725952097519022
185,0.725608239423829
186,0.725346875393145
187,0.725264980921495
188,0.725135735701265
189,0.724656220326877
190,0.724440253829649
191,0.724166754005757
192,0.724001859280751
193,0.723905440421922
194,0.723676500438993
195,0.723471380643405
196,0.723168408502719
197,0.722853044715417
198,0.722836318552538
199,0.722605195149365
200,0.722423809317594
201,0.722277081406119
202,0.7220459554023
203,0.721742097167692
204,0.721586049007497
205,0.721521281929451
206,0.721243235815721
207,0.721096241656201
208,0.720806556878488
209,0.720801935379873
210,0.720513641571787
211,0.720342172278214
212,0.720146280779998
213,0.719944936262636
214,0.719905640697668
215,0.719544836324897
216,0.719370812829493
217,0.719122483009949
218,0.718984742045975
219,0.718781092380795
220,0.71850323479493
221,0.718336717962076
